"Seller List","أبرز البائعين والعلامات التجارية"
"My Credit","رصيدي"
"My Credit (%1)","رصيدي (%1)"
"Quotes Request","طلبات عروض الأسعار"
"Request RMA","طلب استرجاع"
"Bundle Deals","عروض الباقات"
"Buy together, save more — curated multi-item bundles","اشترِ معًا ووفّر أكثر — باقات مختارة متعددة المنتجات"
"All Bundles","كل الباقات"
"View Bundle","عرض الباقة"
"Choose from %1","اختر من %1"
"From %1","يبدأ من %1"
"-%1%% Bundle","خصم الباقة %1%%"
"Save %1","وفّر %1"
"You save %1","توفّر %1"
"See All","عرض الكل"
"All Stores","كل المتاجر"
"Visit Store","زيارة المتجر"
"Fresh & delivered today","طازج ويصلك اليوم"
"New arrivals this week","وصل حديثًا هذا الأسبوع"
"Curated beauty picks","مختارات الجمال"
"For your home","لمنزلك"
"Top-rated across all categories this month","الأعلى تقييمًا في كل الأقسام هذا الشهر"
"Verified sellers with the widest ranges","بائعون موثوقون بأوسع تشكيلة"
"Based on the products you have been viewing","بناءً على المنتجات التي تصفّحتها"
"Featured promotions","عروض مميزة"
"Place Order","إنشاء الطلب"
