"Push Notifications","Push Notifications"
"Push Notification","Push Notification"
"Add New Notification","Add New Notification"
"New Notification","New Notification"
"Edit Notification","Edit Notification"
"Title","Title"
"Message","Message"
"Image URL","Image URL"
"Action URL","Action URL"
"Optional URL that opens when the user taps the notification.","Optional URL that opens when the user taps the notification."
"Optional image URL displayed with the notification.","Optional image URL displayed with the notification."
"Audience","Audience"
"All Users","All Users"
"Customers","Customers"
"Vendors","Vendors"
"Specific Customer Group","Specific Customer Group"
"Specific Target IDs","Specific Target IDs"
"Comma-separated IDs (customer group, vendor, or customer IDs) when the audience is restricted.","Comma-separated IDs (customer group, vendor, or customer IDs) when the audience is restricted."
"Delivery","Delivery"
"Status","Status"
"Draft","Draft"
"Scheduled","Scheduled"
"Sent","Sent"
"Failed","Failed"
"Scheduled At","Scheduled At"
"Required when status is Scheduled.","Required when status is Scheduled."
"Sent At","Sent At"
"Created At","Created At"
"Recipients","Recipients"
"Delivered","Delivered"
"ID","ID"
"Send","Send"
"Send Now","Send Now"
"Send Notification","Send Notification"
"Send this notification to its target audience?","Send this notification to its target audience?"
"The notification ""%1"" has been marked as sent. Configure a push gateway to deliver to devices.","The notification ""%1"" has been marked as sent. Configure a push gateway to deliver to devices."
"The notification has been saved.","The notification has been saved."
"The notification has been deleted.","The notification has been deleted."
"This notification no longer exists.","This notification no longer exists."
"Something went wrong while saving the notification.","Something went wrong while saving the notification."
"Something went wrong while deleting the notification.","Something went wrong while deleting the notification."
"Something went wrong while sending the notification.","Something went wrong while sending the notification."
"We can't find a notification to delete.","We can't find a notification to delete."
"We can't find a notification to send.","We can't find a notification to send."
"Are you sure you want to delete this notification?","Are you sure you want to delete this notification?"
"Are you sure you want to delete the selected notifications?","Are you sure you want to delete the selected notifications?"
"Delete items","Delete items"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Marketplace","Marketplace"
"General Information","General Information"
